,상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
9657,MA010120220803774096,투다리,투다리자양,본점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,1121510500106160015,616.0,15.0,서울특별시 광진구 자양동 616-15,112154112416,서울특별시 광진구 자양로13길,서울특별시 광진구 자양로13길 104,,127.079672198833,37.532453194023,38008590,70.0,261.03000000000003
9659,MA010120220800980465,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11545,금천구,11545510,가산동,1154510100,가산동,1154510100100420005,42.0,5.0,서울특별시 금천구 가산동 42-5,115454151225,서울특별시 금천구 벚꽃로38길,서울특별시 금천구 벚꽃로38길 29,,126.884460821776,37.4824178000663,31704963,20.0,106.0
9660,MA010120220810495762,역전할머니,역전할머니맥주신사가로수길점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11680,강남구,11680510,신사동,1168010700,신사동,1168010700105120011,512.0,11.0,서울특별시 강남구 신사동 512-11,116804166021,서울특별시 강남구 강남대로152길,서울특별시 강남구 강남대로152길 23,1,127.021231929877,37.5176837027842,1348679964,20.0,580.0
9661,MA010120220805935780,역전할머니,역전할머니맥주,노원점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11350,노원구,11350640,상계2동,1135010500,상계동,1135010500106160004,616.0,4.0,서울특별시 노원구 상계동 616-4,113504130088,서울특별시 노원구 노해로81길,서울특별시 노원구 노해로81길 16,1,127.06286151499,37.6556378998709,1297849036,20.0,191.0
9662,MA010120220800481421,투다리,투다리,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11500,강서구,11500540,화곡1동,1150010300,화곡동,1150010300109030017,903.0,17.0,서울특별시 강서구 화곡동 903-17,115004145080,서울특별시 강서구 강서로7길,서울특별시 강서구 강서로7길 5,1,126.847483690345,37.529606503727,1419163382,20.0,149.0
9665,MA0101202412A0087242,역전할머니,역전할머니맥주서울금천,독산2동점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11545,금천구,11545620,독산2동,1154510200,독산동,1154510200110430012,1043.0,12.0,서울특별시 금천구 독산동 1043-12,115453117004,서울특별시 금천구 독산로,서울특별시 금천구 독산로 189,1,126.903015775556,37.4639097244346,1449854694,20.0,189.0
9668,MA0101202210A0024730,역전할머니,역전할머니맥주,암사점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11740,강동구,11740610,천호2동,1174010900,천호동,1174010900102880002,288.0,2.0,서울특별시 강동구 천호동 288-2,117403124003,서울특별시 강동구 상암로,서울특별시 강동구 상암로 52,1,127.128939204979,37.5493574769714,1004012665,20.0,261.0
9672,MA0101202303A0019849,역전할머니,역전할머니맥주,오목교점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200104060028,406.0,28.0,서울특별시 양천구 목동 406-28,114703114014,서울특별시 양천구 오목로,서울특별시 양천구 오목로 345,1,126.875831866674,37.5247472729775,1491229549,20.0,978.0
9673,MA0101202302A0071767,역전할머니,역전할머니맥주상도역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11590,동작구,11590530,상도1동,1159010300,상도1동,1159010300107830002,783.0,2.0,서울특별시 동작구 상도1동 783-2,115903119005,서울특별시 동작구 상도로,서울특별시 동작구 상도로 286,1,126.94835066458,37.5018977289543,1083611120,20.0,46.0
9674,MA0101202303A0039889,역전할머니,역전할머니맥주,남성역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11590,동작구,11590640,사당3동,1159010700,사당동,1159010700102570027,257.0,27.0,서울특별시 동작구 사당동 257-27,115904157245,서울특별시 동작구 사당로17가길,서울특별시 동작구 사당로17가길 16,1,126.97305648392,37.4840209549594,1883733660,20.0,168.0
